ayah_id,surah_number,ayah_number,ayah_key,safe_to_persist,annotation_count,issue_count,low_confidence_count,emitted_rule_codes,exception
1,1,1,1:1,True,5,0,0,alif_lam_syamsiah|mad_aridh_lissukun|mad_lazim_mukhaffaf|tarqiq_lam_jalalah,
2,1,2,1:2,True,6,0,0,alif_lam_qamariah|izhar_syafawi|mad_aridh_lissukun|mad_lazim_mukhaffaf|tafkhim_ra,
3,1,3,1:3,True,4,0,0,alif_lam_syamsiah|mad_aridh_lissukun|mad_lazim_mukhaffaf,
4,1,4,1:4,True,3,1,0,alif_lam_syamsiah|mad_aridh_lissukun|mad_lazim_mukhaffaf,
5,1,5,1:5,True,4,0,0,mad_aridh_lissukun|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal,
6,1,6,1:6,True,6,1,0,alif_lam_qamariah|alif_lam_syamsiah|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra,
7,1,7,1:7,True,14,4,0,alif_lam_qamariah|alif_lam_syamsiah|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra|tarqiq_ra,
6209,2,1,2:1,False,2,1,0,alif_lam_qamariah|ghunnah,TajwidAnnotationError: Render segment index 2 dimulai dengan combining mark.
8,2,2,2:2,False,4,1,0,alif_lam_qamariah|mad_asli|saktah|tafkhim_ra,TajwidAnnotationError: Render segment index 6 dimulai dengan combining mark.
9,2,3,2:3,True,13,1,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_ra,
10,2,4,2:4,False,11,6,0,alif_lam_qamariah|alif_lam_syamsiah|ikhfa_haqiqi|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|qalqalah_sugra,
11,2,5,2:5,False,5,4,0,ghunnah|idgham_bighunnah|idgham_bilaghunnah|mad_asli|mad_silah_qasirah,
12,2,6,2:6,True,20,1,0,alif_lam_syamsiah|ghunnah|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_ra|tarqiq_ra,
13,2,7,2:7,False,8,1,0,izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_lam_jalalah,TajwidAnnotationError: Render segment index 10 dimulai dengan combining mark.
14,2,8,2:8,True,14,1,0,alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_mutajanisain|ikhfa_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tarqiq_lam_jalalah|tarqiq_ra,
15,2,9,2:9,False,10,5,0,alif_lam_syamsiah|idgham_mutamatsilain|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_lam_jalalah,
