ayah_id,surah_number,ayah_number,ayah_key,issue_type,severity,rule_code,word_index,word,reason,detail,raw_issue
4,1,4,1:4,suppressed_legacy_false_positive,warning,mad_lin,1,يَوْمِ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""يَوْمِ"", ""word_index"": 1}"
6,1,6,1:6,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,0,اِهْدِنَا,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""اِهْدِنَا"", ""word_index"": 0}"
7,1,7,1:7,suppressed_legacy_false_positive,warning,mad_lin,3,عَلَيْهِمْ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""عَلَيْهِمْ"", ""word_index"": 3}"
7,1,7,1:7,suppressed_legacy_false_positive,warning,mad_lin,5,غَيْرِ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""غَيْرِ"", ""word_index"": 5}"
7,1,7,1:7,suppressed_legacy_false_positive,warning,mad_lin,7,عَلَيْهِمْ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""عَلَيْهِمْ"", ""word_index"": 7}"
7,1,7,1:7,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,8,وَلَا,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""وَلَا"", ""word_index"": 8}"
6209,2,1,2:1,audit_exception,error,,,,,TajwidAnnotationError: Render segment index 2 dimulai dengan combining mark.,"{""detail"": ""TajwidAnnotationError: Render segment index 2 dimulai dengan combining mark."", ""severity"": ""error"", ""type"": ""audit_exception""}"
8,2,2,2:2,audit_exception,error,,,,,TajwidAnnotationError: Render segment index 6 dimulai dengan combining mark.,"{""detail"": ""TajwidAnnotationError: Render segment index 6 dimulai dengan combining mark."", ""severity"": ""error"", ""type"": ""audit_exception""}"
9,2,3,2:3,suppressed_legacy_false_positive,warning,mad_lin,2,بِالْغَيْبِ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""بِالْغَيْبِ"", ""word_index"": 2}"
10,2,4,2:4,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,2,بِمَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""بِمَآ"", ""word_index"": 2}"
10,2,4,2:4,suppressed_legacy_false_positive,warning,mad_lin,4,اِلَيْكَ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""اِلَيْكَ"", ""word_index"": 4}"
10,2,4,2:4,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,5,وَمَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""وَمَآ"", ""word_index"": 5}"
10,2,4,2:4,unlocatable_rule,error,tafkhim_ra,10,هُمْ,,,"{""rule_code"": ""tafkhim_ra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""هُمْ"", ""word_index"": 10}"
10,2,4,2:4,unlocatable_rule,error,izhar_syafawi,11,يُوْقِنُوْنَۗ,,,"{""rule_code"": ""izhar_syafawi"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""يُوْقِنُوْنَۗ"", ""word_index"": 11}"
10,2,4,2:4,invalid_word_index,error,,12,يُوْقِنُوْنَۗ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""يُوْقِنُوْنَۗ"", ""word_index"": 12}"
11,2,5,2:5,unlocatable_rule,error,qalqalah_sugra,2,هُدًى,,,"{""rule_code"": ""qalqalah_sugra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""هُدًى"", ""word_index"": 2}"
11,2,5,2:5,unlocatable_rule,error,mad_asli,6,هُمُ,,,"{""rule_code"": ""mad_asli"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""هُمُ"", ""word_index"": 6}"
11,2,5,2:5,unlocatable_rule,error,mad_asli,6,هُمُ,,,"{""rule_code"": ""mad_asli"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""هُمُ"", ""word_index"": 6}"
11,2,5,2:5,invalid_word_index,error,,8,الْمُفْلِحُوْنَ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""الْمُفْلِحُوْنَ"", ""word_index"": 8}"
12,2,6,2:6,suppressed_legacy_false_positive,warning,mad_lin,4,عَلَيْهِمْ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""عَلَيْهِمْ"", ""word_index"": 4}"
