ayah_id,surah_number,ayah_number,annotation_count,provisional_count,emitted_rule_codes,issue_count,exception
1,1,1,3,0,alif_lam_shamsiyyah|lam_jalalah_tarqiq,0,
2,1,2,3,0,alif_lam_qamariyyah|lam_jalalah_tarqiq,0,
3,1,3,2,0,alif_lam_shamsiyyah,0,
4,1,4,1,0,alif_lam_shamsiyyah,0,
5,1,5,0,0,,0,
6,1,6,2,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
7,1,7,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
6209,2,1,1,1,alif_lam_qamariyyah,1,
8,2,2,2,0,alif_lam_qamariyyah,0,
9,2,3,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
10,2,4,3,2,alif_lam_qamariyyah|alif_lam_shamsiyyah,2,
11,2,5,1,0,alif_lam_qamariyyah,0,
12,2,6,1,1,alif_lam_shamsiyyah,1,
13,2,7,1,0,lam_jalalah_tafkhim,0,
14,2,8,4,0,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tarqiq,0,
15,2,9,3,2,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,2,
16,2,10,2,1,alif_lam_qamariyyah|lam_jalalah_tafkhim,1,
17,2,11,1,0,alif_lam_qamariyyah,0,
18,2,12,2,1,alif_lam_qamariyyah,1,
19,2,13,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
20,2,14,2,2,alif_lam_qamariyyah|alif_lam_shamsiyyah,2,
21,2,15,1,0,lam_jalalah_tafkhim,0,
22,2,16,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
23,2,17,2,1,alif_lam_shamsiyyah|lam_jalalah_tafkhim,1,
24,2,18,0,0,,0,
25,2,19,5,0,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,0,
26,2,20,3,0,alif_lam_qamariyyah|lam_jalalah_tafkhim,0,
27,2,21,3,2,alif_lam_shamsiyyah,2,
28,2,22,6,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tarqiq,1,
29,2,23,1,0,lam_jalalah_tarqiq,0,
30,2,24,5,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
31,2,25,4,2,alif_lam_qamariyyah|alif_lam_shamsiyyah,2,
32,2,26,7,3,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,3,
33,2,27,5,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,1,
34,2,28,2,1,alif_lam_qamariyyah|lam_jalalah_tarqiq,1,
35,2,29,4,2,alif_lam_qamariyyah|alif_lam_shamsiyyah,2,
36,2,30,3,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
37,2,31,2,0,alif_lam_qamariyyah,0,
38,2,32,3,1,alif_lam_qamariyyah,1,
39,2,33,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
40,2,34,3,1,alif_lam_qamariyyah,1,
41,2,35,3,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
42,2,36,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
43,2,37,2,0,alif_lam_shamsiyyah,0,
44,2,38,0,0,,0,
45,2,39,2,1,alif_lam_shamsiyyah,1,
46,2,40,1,1,alif_lam_shamsiyyah,1,
47,2,41,0,0,,0,
48,2,42,3,0,alif_lam_qamariyyah,0,
49,2,43,3,0,alif_lam_shamsiyyah,0,
50,2,44,3,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
51,2,45,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
52,2,46,2,2,alif_lam_qamariyyah|alif_lam_shamsiyyah,2,
53,2,47,2,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
54,2,48,0,0,,0,
55,2,49,1,0,alif_lam_qamariyyah,0,
56,2,50,1,0,alif_lam_qamariyyah,0,
57,2,51,1,0,alif_lam_qamariyyah,0,
58,2,52,0,0,,0,
59,2,53,2,0,alif_lam_qamariyyah,0,
60,2,54,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
61,2,55,1,0,alif_lam_shamsiyyah,1,
62,2,56,0,0,,0,
63,2,57,3,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
64,2,58,3,0,alif_lam_qamariyyah,0,
65,2,59,4,3,alif_lam_shamsiyyah,3,
66,2,60,3,0,alif_lam_qamariyyah|lam_jalalah_tarqiq,0,
67,2,61,9,2,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,2,
68,2,62,7,2,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tarqiq,2,
69,2,63,1,0,alif_lam_shamsiyyah,0,
70,2,64,2,0,alif_lam_qamariyyah|lam_jalalah_tafkhim,0,
71,2,65,2,1,alif_lam_shamsiyyah,1,
72,2,66,1,0,alif_lam_qamariyyah,0,
73,2,67,3,0,alif_lam_qamariyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,0,
74,2,68,0,0,,0,
75,2,69,1,0,alif_lam_shamsiyyah,0,
76,2,70,2,0,alif_lam_qamariyyah|lam_jalalah_tafkhim,0,
77,2,71,3,0,alif_lam_qamariyyah,0,
78,2,72,1,0,lam_jalalah_tafkhim,0,
79,2,73,2,0,alif_lam_qamariyyah|lam_jalalah_tarqiq,0,
80,2,74,6,0,alif_lam_qamariyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,0,
81,2,75,1,0,lam_jalalah_tafkhim,0,
82,2,76,3,2,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,2,
83,2,77,1,0,lam_jalalah_tafkhim,0,
84,2,78,3,2,alif_lam_qamariyyah,2,
85,2,79,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tarqiq,1,
86,2,80,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,2,
87,2,81,1,0,alif_lam_shamsiyyah,0,
88,2,82,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
89,2,83,10,2,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,2,
90,2,84,0,0,,0,
91,2,85,10,2,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,2,
92,2,86,5,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
93,2,87,4,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
94,2,88,1,0,lam_jalalah_tafkhim,0,
95,2,89,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,1,
96,2,90,3,0,alif_lam_qamariyyah|lam_jalalah_tafkhim,0,
97,2,91,3,0,alif_lam_qamariyyah|lam_jalalah_tafkhim,0,
98,2,92,2,0,alif_lam_qamariyyah,0,
99,2,93,2,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
100,2,94,5,0,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,0,
101,2,95,2,0,alif_lam_shamsiyyah|lam_jalalah_tafkhim,0,
102,2,96,5,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,1,
103,2,97,2,0,alif_lam_qamariyyah|lam_jalalah_tarqiq,0,
104,2,98,3,0,alif_lam_qamariyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,0,
105,2,99,3,2,alif_lam_qamariyyah,2,
106,2,100,0,0,,0,
107,2,101,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,1,
108,2,102,9,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tarqiq,1,
109,2,103,1,0,lam_jalalah_tarqiq,0,
110,2,104,3,2,alif_lam_qamariyyah|alif_lam_shamsiyyah,2,
111,2,105,7,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,1,
112,2,106,2,1,alif_lam_qamariyyah|lam_jalalah_tafkhim,1,
113,2,107,5,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,1,
114,2,108,3,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
115,2,109,4,0,alif_lam_qamariyyah|lam_jalalah_tafkhim,0,
116,2,110,4,0,alif_lam_shamsiyyah|lam_jalalah_tafkhim,0,
117,2,111,2,1,alif_lam_qamariyyah,1,
118,2,112,1,0,lam_jalalah_tarqiq,0,
119,2,113,8,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,1,
120,2,114,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,1,
121,2,115,5,0,alif_lam_qamariyyah|lam_jalalah_tafkhim|lam_jalalah_tarqiq,0,
122,2,116,3,0,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,0,
123,2,117,2,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
124,2,118,4,2,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,2,
125,2,119,2,0,alif_lam_qamariyyah,0,
126,2,120,6,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,2,
127,2,121,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
128,2,122,2,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
129,2,123,0,0,,0,
130,2,124,2,0,alif_lam_shamsiyyah,0,
131,2,125,7,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
132,2,126,7,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tarqiq,1,
133,2,127,4,0,alif_lam_qamariyyah|alif_lam_shamsiyyah,0,
134,2,128,2,0,alif_lam_shamsiyyah,0,
135,2,129,4,0,alif_lam_qamariyyah,0,
136,2,130,4,1,alif_lam_qamariyyah|alif_lam_shamsiyyah,1,
137,2,131,1,0,alif_lam_qamariyyah,0,
138,2,132,3,1,alif_lam_qamariyyah|alif_lam_shamsiyyah|lam_jalalah_tafkhim,1,
139,2,133,4,3,alif_lam_qamariyyah,3,
140,2,134,0,0,,0,
141,2,135,1,0,alif_lam_qamariyyah,0,
