mode,rule_code,annotation_count,ayah_count,primary_segment_count
ayah_stop,alif_lam_qamariyyah,7568,4019,20295
ayah_stop,alif_lam_shamsiyyah,4231,2705,12569
ayah_stop,ghunnah_mushaddadah,7270,3832,8760
ayah_stop,hamzat_wasl,180,43,80
ayah_stop,idgham_bighunnah,3860,2476,11899
ayah_stop,idgham_bilaghunnah,1023,894,3146
ayah_stop,idgham_mimi,825,711,3288
ayah_stop,idgham_mutajanisain,61,59,140
ayah_stop,idgham_mutamathilain,124,117,314
ayah_stop,idgham_mutaqaribain,13,13,50
ayah_stop,ikhfa_haqiqi,5235,2958,12314
ayah_stop,ikhfa_shafawi,488,445,988
ayah_stop,iqlab,599,501,1300
ayah_stop,izhar_halqi,1773,1386,4124
ayah_stop,izhar_mutlaq,119,114,476
ayah_stop,izhar_shafawi,6160,3072,12068
ayah_stop,lam_jalalah_tafkhim,1688,1280,3376
ayah_stop,lam_jalalah_tarqiq,712,644,1423
ayah_stop,mad_arid_lissukun,4772,4772,6252
ayah_stop,mad_ayn_muqattaah,2,2,4
ayah_stop,mad_badl,164,154,354
ayah_stop,mad_farq,0,0,0
ayah_stop,mad_harfi_tabii,14,12,24
ayah_stop,mad_iwad,655,655,852
ayah_stop,mad_jaiz_munfasil,29,20,76
ayah_stop,mad_lazim_harfi_mukhaffaf,22,19,43
ayah_stop,mad_lazim_harfi_muthaqqal,9,9,18
ayah_stop,mad_lazim_kalimi_mukhaffaf,2453,1767,8564
ayah_stop,mad_lazim_kalimi_muthaqqal,1033,945,4035
ayah_stop,mad_lin,9,9,13
ayah_stop,mad_silah_qasirah,5,5,10
ayah_stop,mad_silah_tawilah,0,0,0
ayah_stop,mad_tabii,45870,6023,79207
ayah_stop,mad_tamkin,3,3,6
ayah_stop,mad_wajib_muttasil,1467,1124,3796
ayah_stop,qalqalah_akbar,1,1,1
ayah_stop,qalqalah_kubra,421,421,50
ayah_stop,qalqalah_sughra,3413,2372,6446
ayah_stop,ra_both_permitted,1,1,2
ayah_stop,ra_tafkhim,9221,4420,15550
ayah_stop,ra_tarqiq,2775,2030,4790
ayah_stop,saktah_jaizah,0,0,2
ayah_stop,saktah_wajibah,3,3,7
ayah_stop,silent_letter,88,86,180
wasl,alif_lam_qamariyyah,7568,4019,20295
wasl,alif_lam_shamsiyyah,4231,2705,12569
wasl,ghunnah_mushaddadah,7270,3832,8760
wasl,hamzat_wasl,180,43,80
wasl,idgham_bighunnah,3860,2476,11899
wasl,idgham_bilaghunnah,1023,894,3146
wasl,idgham_mimi,825,711,3288
wasl,idgham_mutajanisain,61,59,140
wasl,idgham_mutamathilain,124,117,314
wasl,idgham_mutaqaribain,13,13,50
wasl,ikhfa_haqiqi,5236,2958,12314
wasl,ikhfa_shafawi,488,445,988
wasl,iqlab,599,501,1300
wasl,izhar_halqi,1773,1386,4124
wasl,izhar_mutlaq,119,114,476
wasl,izhar_shafawi,6160,3072,12068
wasl,lam_jalalah_tafkhim,1688,1280,3376
wasl,lam_jalalah_tarqiq,712,644,1423
wasl,mad_arid_lissukun,0,0,6252
wasl,mad_ayn_muqattaah,2,2,4
wasl,mad_badl,190,179,354
wasl,mad_farq,0,0,0
wasl,mad_harfi_tabii,14,12,24
wasl,mad_iwad,0,0,852
wasl,mad_jaiz_munfasil,29,20,76
wasl,mad_lazim_harfi_mukhaffaf,22,19,43
wasl,mad_lazim_harfi_muthaqqal,9,9,18
wasl,mad_lazim_kalimi_mukhaffaf,2453,1767,8564
wasl,mad_lazim_kalimi_muthaqqal,1033,945,4035
wasl,mad_lin,0,0,13
wasl,mad_silah_qasirah,5,5,10
wasl,mad_silah_tawilah,0,0,0
wasl,mad_tabii,50605,6164,79207
wasl,mad_tamkin,3,3,6
wasl,mad_wajib_muttasil,1478,1135,3796
wasl,qalqalah_akbar,0,0,1
wasl,qalqalah_kubra,0,0,50
wasl,qalqalah_sughra,3417,2374,6446
wasl,ra_both_permitted,1,1,2
wasl,ra_tafkhim,9238,4405,15550
wasl,ra_tarqiq,2759,2027,4790
wasl,saktah_jaizah,2,2,2
wasl,saktah_wajibah,4,4,7
wasl,silent_letter,92,90,180
