ayah_id,surah_number,ayah_number,only_ayah_stop,only_wasl
1,1,1,mad_arid_lissukun@19:21,mad_tabii@19:21
2,1,2,mad_arid_lissukun@17:19,mad_tabii@17:19
3,1,3,mad_arid_lissukun@10:12,mad_tabii@10:12
4,1,4,mad_arid_lissukun@10:12,mad_tabii@10:12
5,1,5,mad_arid_lissukun@19:21,mad_tabii@19:21
6,1,6,mad_arid_lissukun@18:20,mad_tabii@18:20
7,1,7,mad_arid_lissukun@51:53,mad_tabii@51:53
8,2,2,mad_arid_lissukun@33:35,mad_tabii@33:35
9,2,3,mad_arid_lissukun@50:52,mad_tabii@50:52
10,2,4,mad_arid_lissukun@62:64,mad_tabii@62:64
11,2,5,mad_arid_lissukun@39:41,mad_tabii@39:41
12,2,6,mad_arid_lissukun@54:56,mad_tabii@54:56
13,2,7,mad_arid_lissukun@63:65,mad_tabii@63:65
14,2,8,mad_arid_lissukun@54:56,mad_tabii@54:56
15,2,9,mad_arid_lissukun@56:58,mad_tabii@56:58
16,2,10,mad_arid_lissukun@63:65,mad_tabii@63:65
17,2,11,mad_arid_lissukun@50:52,mad_tabii@50:52
18,2,12,mad_arid_lissukun@32:34,mad_tabii@32:34
19,2,13,mad_arid_lissukun@94:96,mad_tabii@94:96
20,2,14,mad_arid_lissukun@89:91,mad_badl@89:91
21,2,15,mad_arid_lissukun@38:40,mad_tabii@38:40
22,2,16,mad_arid_lissukun@63:65,mad_tabii@63:65
23,2,17,mad_arid_lissukun@86:88,mad_tabii@86:88
24,2,18,mad_arid_lissukun@23:25,mad_tabii@23:25
25,2,19,mad_arid_lissukun@99:101,mad_tabii@99:101
26,2,20,mad_arid_lissukun@130:132|ra_tarqiq@132:133,mad_tabii@130:132|ra_tafkhim@132:133
27,2,21,mad_arid_lissukun@60:62,mad_tabii@60:62
28,2,22,mad_arid_lissukun@121:123,mad_tabii@121:123
29,2,23,mad_arid_lissukun@95:97,mad_tabii@95:97
30,2,24,mad_arid_lissukun@76:78,mad_tabii@76:78
31,2,25,mad_arid_lissukun@175:177,mad_tabii@175:177
32,2,26,mad_arid_lissukun@198:200,mad_tabii@198:200
33,2,27,mad_arid_lissukun@97:99,mad_tabii@97:99
34,2,28,mad_arid_lissukun@69:71,mad_tabii@69:71
35,2,29,mad_arid_lissukun@85:87,mad_tabii@85:87
36,2,30,mad_arid_lissukun@139:141,mad_tabii@139:141
37,2,31,mad_arid_lissukun@79:81,mad_tabii@79:81
38,2,32,mad_arid_lissukun@56:58,mad_tabii@56:58
39,2,33,mad_arid_lissukun@118:120,mad_tabii@118:120
40,2,34,mad_arid_lissukun@70:72,mad_tabii@70:72
41,2,35,mad_arid_lissukun@92:94,mad_tabii@92:94
42,2,36,mad_arid_lissukun@104:106,mad_tabii@104:106
43,2,37,mad_arid_lissukun@51:53,mad_tabii@51:53
44,2,38,mad_arid_lissukun@83:85,mad_tabii@83:85
45,2,39,mad_arid_lissukun@56:58,mad_tabii@56:58
46,2,40,mad_arid_lissukun@77:79,mad_tabii@77:79
47,2,41,mad_arid_lissukun@95:97,mad_tabii@95:97
48,2,42,mad_arid_lissukun@46:48,mad_tabii@46:48
49,2,43,mad_arid_lissukun@44:46,mad_tabii@44:46
50,2,44,mad_arid_lissukun@64:66,mad_tabii@64:66
51,2,45,mad_arid_lissukun@52:54,mad_tabii@52:54
52,2,46,mad_arid_lissukun@41:43,mad_tabii@41:43
53,2,47,mad_arid_lissukun@63:65,mad_tabii@63:65
54,2,48,mad_arid_lissukun@84:86,mad_tabii@84:86
55,2,49,mad_arid_lissukun@99:101,mad_tabii@99:101
56,2,50,mad_arid_lissukun@55:57,mad_tabii@55:57
57,2,51,mad_arid_lissukun@59:61,mad_tabii@59:61
58,2,52,mad_arid_lissukun@34:36,mad_tabii@34:36
59,2,53,mad_arid_lissukun@39:41,mad_tabii@39:41
60,2,54,mad_arid_lissukun@144:146,mad_tabii@144:146
61,2,55,mad_arid_lissukun@68:70,mad_tabii@68:70
62,2,56,mad_arid_lissukun@32:34,mad_tabii@32:34
63,2,57,mad_arid_lissukun@106:108,mad_tabii@106:108
64,2,58,mad_arid_lissukun@111:113,mad_tabii@111:113
65,2,59,mad_arid_lissukun@91:93,mad_tabii@91:93
66,2,60,mad_arid_lissukun@148:150,mad_tabii@148:150
67,2,61,mad_arid_lissukun@318:320,mad_tabii@318:320
68,2,62,mad_arid_lissukun@128:130,mad_tabii@128:130
69,2,63,mad_arid_lissukun@80:82,mad_tabii@80:82
