ayah_id,surah_number,ayah_number,annotation_count,emitted_rule_codes,issue_count,exception
1,1,1,0,,0,
2,1,2,0,,0,
3,1,3,0,,0,
4,1,4,0,,0,
5,1,5,0,,0,
6,1,6,0,,0,
7,1,7,0,,0,
6209,2,1,0,,0,
8,2,2,0,,0,
9,2,3,1,qalqalah_sughra,0,
10,2,4,1,qalqalah_sughra,0,
11,2,5,0,,0,
12,2,6,0,,0,
13,2,7,1,qalqalah_sughra,0,
14,2,8,0,,0,
15,2,9,0,,0,
16,2,10,0,,0,
17,2,11,0,,0,
18,2,12,0,,0,
19,2,13,0,,0,
20,2,14,0,,0,
21,2,15,0,,0,
22,2,16,0,,0,
23,2,17,1,qalqalah_sughra,0,
24,2,18,0,,0,
25,2,19,1,qalqalah_sughra,0,
26,2,20,2,qalqalah_sughra,0,
27,2,21,1,qalqalah_sughra,0,
28,2,22,1,qalqalah_sughra,0,
29,2,23,2,qalqalah_sughra,0,
30,2,24,0,,0,
31,2,25,3,qalqalah_sughra,0,
32,2,26,0,,0,
33,2,27,1,qalqalah_sughra,0,
34,2,28,0,,0,
35,2,29,1,qalqalah_sughra,0,
36,2,30,1,qalqalah_sughra,0,
37,2,31,0,,0,
38,2,32,1,qalqalah_sughra,0,
39,2,33,1,qalqalah_sughra,0,
40,2,34,1,qalqalah_sughra,0,
41,2,35,1,qalqalah_sughra,0,
42,2,36,0,,0,
43,2,37,0,,0,
44,2,38,0,,0,
45,2,39,0,,0,
46,2,40,0,,0,
47,2,41,0,,0,
48,2,42,0,,0,
49,2,43,0,,0,
50,2,44,0,,0,
51,2,45,1,qalqalah_sughra,0,
52,2,46,0,,0,
53,2,47,0,,0,
54,2,48,3,qalqalah_sughra,0,
55,2,49,1,qalqalah_sughra,0,
56,2,50,2,qalqalah_sughra,0,
57,2,51,2,qalqalah_sughra,0,
58,2,52,0,,0,
59,2,53,0,,0,
60,2,54,2,qalqalah_sughra,0,
61,2,55,0,,0,
62,2,56,0,,0,
63,2,57,1,qalqalah_sughra,0,
64,2,58,2,qalqalah_sughra,0,
65,2,59,1,qalqalah_sughra,0,
66,2,60,2,qalqalah_sughra,0,
67,2,61,6,qalqalah_sughra,0,
68,2,62,1,qalqalah_sughra,0,
69,2,63,0,,0,
70,2,64,0,,0,
71,2,65,2,qalqalah_sughra,0,
72,2,66,0,,0,
73,2,67,0,,0,
74,2,68,1,qalqalah_sughra,0,
75,2,69,1,qalqalah_sughra,0,
76,2,70,1,qalqalah_sughra,0,
77,2,71,0,,0,
78,2,72,0,,0,
79,2,73,0,,0,
80,2,74,0,,0,
81,2,75,2,qalqalah_sughra,0,
82,2,76,0,,0,
83,2,77,0,,0,
84,2,78,0,,0,
85,2,79,0,,0,
86,2,80,0,,0,
87,2,81,0,,0,
88,2,82,0,,0,
89,2,83,0,,0,
90,2,84,1,qalqalah_sughra,0,
91,2,85,2,qalqalah_sughra,0,
92,2,86,0,,0,
93,2,87,5,qalqalah_sughra,0,
94,2,88,0,,0,
95,2,89,1,qalqalah_sughra,0,
96,2,90,0,,0,
97,2,91,2,qalqalah_sughra,0,
98,2,92,2,qalqalah_sughra,0,
99,2,93,1,qalqalah_sughra,0,
100,2,94,0,,0,
101,2,95,0,,0,
102,2,96,0,,0,
103,2,97,1,qalqalah_sughra,0,
104,2,98,1,qalqalah_sughra,0,
105,2,99,1,qalqalah_sughra,0,
106,2,100,0,,0,
107,2,101,0,,0,
108,2,102,1,qalqalah_sughra,0,
