action,annotation_count,annotation_set_id,ayah_id,error_count,mode,protected_active_set_id,published,safe_to_persist,verse_key,warning_count
published_beta_candidate,8,1,1,0,ayah,,True,True,1:1,0
published_beta_candidate,8,2,1,0,wasl,,True,True,1:1,0
published_beta_candidate,8,3,2,0,ayah,,True,True,1:2,0
published_beta_candidate,8,4,2,0,wasl,,True,True,1:2,0
published_beta_candidate,6,5,3,0,ayah,,True,True,1:3,0
published_beta_candidate,6,6,3,0,wasl,,True,True,1:3,0
published_beta_candidate,3,7,4,0,ayah,,True,True,1:4,0
published_beta_candidate,3,8,4,0,wasl,,True,True,1:4,0
published_beta_candidate,4,9,5,0,ayah,,True,True,1:5,0
published_beta_candidate,4,10,5,0,wasl,,True,True,1:5,0
published_beta_candidate,6,11,6,0,ayah,,True,True,1:6,0
published_beta_candidate,6,12,6,0,wasl,,True,True,1:6,0
published_beta_candidate,15,13,7,0,ayah,,True,True,1:7,1
published_beta_candidate,15,14,7,0,wasl,,True,True,1:7,1
published_beta_candidate,4,15,6209,0,ayah,,True,True,2:1,1
published_beta_candidate,4,16,6209,0,wasl,,True,True,2:1,1
published_beta_candidate,9,17,8,0,ayah,,True,True,2:2,0
published_beta_candidate,9,18,8,0,wasl,,True,True,2:2,0
published_beta_candidate,17,19,9,0,ayah,,True,True,2:3,1
published_beta_candidate,17,20,9,0,wasl,,True,True,2:3,1
published_beta_candidate,18,21,10,0,ayah,,True,True,2:4,2
published_beta_candidate,18,22,10,0,wasl,,True,True,2:4,2
published_beta_candidate,13,23,11,0,ayah,,True,True,2:5,0
published_beta_candidate,13,24,11,0,wasl,,True,True,2:5,0
published_beta_candidate,20,25,12,0,ayah,,True,True,2:6,1
published_beta_candidate,20,26,12,0,wasl,,True,True,2:6,1
published_beta_candidate,19,27,13,0,ayah,,True,True,2:7,0
published_beta_candidate,19,28,13,0,wasl,,True,True,2:7,0
published_beta_candidate,18,29,14,0,ayah,,True,True,2:8,0
published_beta_candidate,18,30,14,0,wasl,,True,True,2:8,0
published_beta_candidate,18,31,15,0,ayah,,True,True,2:9,2
published_beta_candidate,18,32,15,0,wasl,,True,True,2:9,2
published_beta_candidate,19,33,16,0,ayah,,True,True,2:10,1
published_beta_candidate,19,34,16,0,wasl,,True,True,2:10,1
published_beta_candidate,14,35,17,0,ayah,,True,True,2:11,0
published_beta_candidate,14,36,17,0,wasl,,True,True,2:11,0
published_beta_candidate,11,37,18,0,ayah,,True,True,2:12,1
published_beta_candidate,11,38,18,0,wasl,,True,True,2:12,1
published_beta_candidate,28,39,19,0,ayah,,True,True,2:13,1
published_beta_candidate,28,40,19,0,wasl,,True,True,2:13,1
published_beta_candidate,27,41,20,0,ayah,,True,True,2:14,2
published_beta_candidate,27,42,20,0,wasl,,True,True,2:14,2
published_beta_candidate,8,43,21,0,ayah,,True,True,2:15,0
published_beta_candidate,8,44,21,0,wasl,,True,True,2:15,0
published_beta_candidate,19,45,22,0,ayah,,True,True,2:16,1
published_beta_candidate,19,46,22,0,wasl,,True,True,2:16,1
published_beta_candidate,24,47,23,0,ayah,,True,True,2:17,1
published_beta_candidate,24,48,23,0,wasl,,True,True,2:17,1
published_beta_candidate,9,49,24,0,ayah,,True,True,2:18,0
published_beta_candidate,9,50,24,0,wasl,,True,True,2:18,0
published_beta_candidate,33,51,25,0,ayah,,True,True,2:19,0
published_beta_candidate,33,52,25,0,wasl,,True,True,2:19,0
published_beta_candidate,34,53,26,0,ayah,,True,True,2:20,0
published_beta_candidate,34,54,26,0,wasl,,True,True,2:20,0
published_beta_candidate,18,55,27,0,ayah,,True,True,2:21,2
published_beta_candidate,18,56,27,0,wasl,,True,True,2:21,2
published_beta_candidate,37,57,28,0,ayah,,True,True,2:22,2
published_beta_candidate,37,58,28,0,wasl,,True,True,2:22,2
published_beta_candidate,36,59,29,0,ayah,,True,True,2:23,0
published_beta_candidate,36,60,29,0,wasl,,True,True,2:23,0
published_beta_candidate,27,61,30,0,ayah,,True,True,2:24,1
published_beta_candidate,27,62,30,0,wasl,,True,True,2:24,1
published_beta_candidate,61,63,31,0,ayah,,True,True,2:25,2
published_beta_candidate,61,64,31,0,wasl,,True,True,2:25,2
published_beta_candidate,57,65,32,0,ayah,,True,True,2:26,5
published_beta_candidate,57,66,32,0,wasl,,True,True,2:26,5
published_beta_candidate,27,67,33,0,ayah,,True,True,2:27,2
published_beta_candidate,27,68,33,0,wasl,,True,True,2:27,2
published_beta_candidate,22,69,34,0,ayah,,True,True,2:28,1
published_beta_candidate,22,70,34,0,wasl,,True,True,2:28,1
published_beta_candidate,23,71,35,0,ayah,,True,True,2:29,2
published_beta_candidate,23,72,35,0,wasl,,True,True,2:29,2
published_beta_candidate,31,73,36,0,ayah,,True,True,2:30,0
published_beta_candidate,31,74,36,0,wasl,,True,True,2:30,0
published_beta_candidate,21,75,37,0,ayah,,True,True,2:31,0
published_beta_candidate,21,76,37,0,wasl,,True,True,2:31,0
published_beta_candidate,17,77,38,0,ayah,,True,True,2:32,1
published_beta_candidate,17,78,38,0,wasl,,True,True,2:32,1
published_beta_candidate,35,79,39,0,ayah,,True,True,2:33,1
published_beta_candidate,35,80,39,0,wasl,,True,True,2:33,1
published_beta_candidate,19,81,40,0,ayah,,True,True,2:34,1
published_beta_candidate,19,82,40,0,wasl,,True,True,2:34,1
published_beta_candidate,24,83,41,0,ayah,,True,True,2:35,0
published_beta_candidate,24,84,41,0,wasl,,True,True,2:35,0
published_beta_candidate,29,85,42,0,ayah,,True,True,2:36,1
published_beta_candidate,29,86,42,0,wasl,,True,True,2:36,1
published_beta_candidate,13,87,43,0,ayah,,True,True,2:37,0
published_beta_candidate,13,88,43,0,wasl,,True,True,2:37,0
published_beta_candidate,23,89,44,0,ayah,,True,True,2:38,0
published_beta_candidate,23,90,44,0,wasl,,True,True,2:38,0
published_beta_candidate,21,91,45,0,ayah,,True,True,2:39,1
published_beta_candidate,21,92,45,0,wasl,,True,True,2:39,1
published_beta_candidate,22,93,46,0,ayah,,True,True,2:40,1
published_beta_candidate,22,94,46,0,wasl,,True,True,2:40,1
published_beta_candidate,26,95,47,0,ayah,,True,True,2:41,0
published_beta_candidate,26,96,47,0,wasl,,True,True,2:41,0
published_beta_candidate,11,97,48,0,ayah,,True,True,2:42,0
published_beta_candidate,11,98,48,0,wasl,,True,True,2:42,0
published_beta_candidate,16,99,49,0,ayah,,True,True,2:43,0
published_beta_candidate,16,100,49,0,wasl,,True,True,2:43,0
published_beta_candidate,18,101,50,0,ayah,,True,True,2:44,0
published_beta_candidate,18,102,50,0,wasl,,True,True,2:44,0
published_beta_candidate,19,103,51,0,ayah,,True,True,2:45,1
published_beta_candidate,19,104,51,0,wasl,,True,True,2:45,1
published_beta_candidate,17,105,52,0,ayah,,True,True,2:46,3
published_beta_candidate,17,106,52,0,wasl,,True,True,2:46,3
published_beta_candidate,19,107,53,0,ayah,,True,True,2:47,1
published_beta_candidate,19,108,53,0,wasl,,True,True,2:47,1
published_beta_candidate,28,109,54,0,ayah,,True,True,2:48,0
published_beta_candidate,28,110,54,0,wasl,,True,True,2:48,0
published_beta_candidate,29,111,55,0,ayah,,True,True,2:49,0
published_beta_candidate,29,112,55,0,wasl,,True,True,2:49,0
published_beta_candidate,22,113,56,0,ayah,,True,True,2:50,0
published_beta_candidate,22,114,56,0,wasl,,True,True,2:50,0
published_beta_candidate,18,115,57,0,ayah,,True,True,2:51,1
published_beta_candidate,18,116,57,0,wasl,,True,True,2:51,1
published_beta_candidate,10,117,58,0,ayah,,True,True,2:52,0
published_beta_candidate,10,118,58,0,wasl,,True,True,2:52,0
published_beta_candidate,12,119,59,0,ayah,,True,True,2:53,0
published_beta_candidate,12,120,59,0,wasl,,True,True,2:53,0
published_beta_candidate,43,121,60,0,ayah,,True,True,2:54,1
published_beta_candidate,43,122,60,0,wasl,,True,True,2:54,1
published_beta_candidate,22,123,61,0,ayah,,True,True,2:55,1
published_beta_candidate,22,124,61,0,wasl,,True,True,2:55,1
published_beta_candidate,9,125,62,0,ayah,,True,True,2:56,0
published_beta_candidate,9,126,62,0,wasl,,True,True,2:56,0
published_beta_candidate,29,127,63,0,ayah,,True,True,2:57,0
published_beta_candidate,29,128,63,0,wasl,,True,True,2:57,0
published_beta_candidate,31,129,64,0,ayah,,True,True,2:58,0
published_beta_candidate,31,130,64,0,wasl,,True,True,2:58,0
published_beta_candidate,25,131,65,0,ayah,,True,True,2:59,3
published_beta_candidate,25,132,65,0,wasl,,True,True,2:59,3
published_beta_candidate,36,133,66,0,ayah,,True,True,2:60,0
published_beta_candidate,36,134,66,0,wasl,,True,True,2:60,0
published_beta_candidate,86,135,67,0,ayah,,True,True,2:61,2
published_beta_candidate,86,136,67,0,wasl,,True,True,2:61,2
published_beta_candidate,42,137,68,0,ayah,,True,True,2:62,3
published_beta_candidate,42,138,68,0,wasl,,True,True,2:62,3
published_beta_candidate,23,139,69,0,ayah,,True,True,2:63,0
published_beta_candidate,23,140,69,0,wasl,,True,True,2:63,0
published_beta_candidate,17,141,70,0,ayah,,True,True,2:64,0
published_beta_candidate,17,142,70,0,wasl,,True,True,2:64,0
published_beta_candidate,17,143,71,0,ayah,,True,True,2:65,1
published_beta_candidate,17,144,71,0,wasl,,True,True,2:65,1
published_beta_candidate,11,145,72,0,ayah,,True,True,2:66,0
published_beta_candidate,11,146,72,0,wasl,,True,True,2:66,0
published_beta_candidate,25,147,73,0,ayah,,True,True,2:67,1
published_beta_candidate,25,148,73,0,wasl,,True,True,2:67,1
published_beta_candidate,31,149,74,0,ayah,,True,True,2:68,0
published_beta_candidate,31,150,74,0,wasl,,True,True,2:68,0
published_beta_candidate,27,151,75,0,ayah,,True,True,2:69,0
published_beta_candidate,27,152,75,0,wasl,,True,True,2:69,0
published_beta_candidate,21,153,76,0,ayah,,True,True,2:70,0
published_beta_candidate,21,154,76,0,wasl,,True,True,2:70,0
published_beta_candidate,31,155,77,0,ayah,,True,True,2:71,0
published_beta_candidate,31,156,77,0,wasl,,True,True,2:71,0
published_beta_candidate,19,157,78,0,ayah,,True,True,2:72,0
